label,total_races,podium_hit_rate,avg_podium_hits,exact_drivers,exact_ordered,winner_accuracy
Baseline Qualifying Top-3,261,0.6768837803320562,2.0306513409961684,0.2681992337164751,0.12643678160919541,0.5517241379310345
Baseline Grid Top-3,261,0.6896551724137931,2.0689655172413794,0.2796934865900383,0.13793103448275862,0.5402298850574713
Baseline Standings Top-3,261,0.611749680715198,1.8352490421455938,0.14559386973180077,0.04597701149425287,0.42911877394636017
Baseline Weighted Formula,221,0.6380090497737556,1.914027149321267,0.16289592760180996,0.06334841628959276,0.4796380090497738
