Model,Podium Hit Rate,Winner Accuracy,Exact Drivers
Classifier Only,0.7777777777777778,0.38596491228070173,0.40350877192982454
Ranker Only,0.6666666666666666,0.6842105263157895,0.15789473684210525
Ensemble (Clf+Rank),0.7777777777777778,0.38596491228070173,0.40350877192982454
