Model,Total Races,Podium Hit Rate,Avg Podium Hits,Winner Accuracy,Exact Drivers,NDCG@3
Logistic Regression,57,0.7134502923976608,2.1403508771929824,0.5263157894736842,0.22807017543859648,0.7627892936172254
Random Forest,57,0.7485380116959064,2.245614035087719,0.5614035087719298,0.3333333333333333,0.7930303012423157
XGBoost,57,0.7543859649122807,2.263157894736842,0.43859649122807015,0.3333333333333333,0.7737497728752639
LightGBM,57,0.7777777777777778,2.3333333333333335,0.38596491228070173,0.40350877192982454,0.7820432331255915
CatBoost,57,0.7543859649122807,2.263157894736842,0.5087719298245614,0.3333333333333333,0.7786656007373322
