Model,Num Features,Podium Hit Rate,ROC-AUC
A: Qualifying Only,5,0.6783625730994152,0.9116276308368213
B: Qual + Driver Form,10,0.6608187134502924,0.9163119304182623
C: Qual + Driver + Constructor,12,0.6549707602339181,0.9163238044349453
D: All Features,54,0.7894736842105263,0.9679639029892837
