Model,Total Races,Podium Hit Rate,Winner Accuracy,Exact Drivers,NDCG@3
LightGBM Classifier,57,0.7777777777777778,0.38596491228070173,0.40350877192982454,0.7820432331255915
LGBMRanker,57,0.6666666666666666,0.6842105263157895,0.15789473684210525,0.7850487328197724
XGBRanker,57,0.6549707602339181,0.6140350877192983,0.12280701754385964,0.7804890991802403
Two-Stage (Clf+Rank),57,0.6666666666666666,0.6842105263157895,0.15789473684210525,
