fold,val_year,model,podium_hit_rate,winner_accuracy,exact_drivers,n_races
Fold 1: 2014-2018 -> 2019,2019,Classifier,0.7936507936507936,0.38095238095238093,0.47619047619047616,21
Fold 1: 2014-2018 -> 2019,2019,Ranker,0.6984126984126984,0.3333333333333333,0.19047619047619047,21
Fold 2: 2014-2019 -> 2020,2020,Classifier,0.8235294117647058,0.29411764705882354,0.7058823529411765,17
Fold 2: 2014-2019 -> 2020,2020,Ranker,0.6274509803921569,0.47058823529411764,0.0,17
Fold 3: 2014-2020 -> 2021,2021,Classifier,0.8484848484848485,0.6818181818181818,0.5909090909090909,22
Fold 3: 2014-2020 -> 2021,2021,Ranker,0.5909090909090909,0.5,0.045454545454545456,22
Fold 4: 2014-2021 -> 2022,2022,Classifier,0.8787878787878788,0.5909090909090909,0.6363636363636364,22
Fold 4: 2014-2021 -> 2022,2022,Ranker,0.6515151515151515,0.3181818181818182,0.13636363636363635,22
