Model,ROC-AUC,PR-AUC,Log Loss,Brier Score
Logistic Regression (Test),0.9450114287410574,0.7189443761137512,0.30418052522791156,0.08661976783305278
Random Forest (Test),0.9601211149701664,0.7768572704780121,0.27612511351054936,0.08589631623420126
XGBoost (Test),0.9630361860658414,0.8013333526424569,0.23560425639152527,0.06187751889228821
LightGBM (Test),0.9683676195565054,0.8133050742901546,0.23355184451342595,0.05813050539931057
CatBoost (Test),0.9667052572208864,0.8264978394188265,0.2539714141547002,0.0788772636428127
