resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,is_podium,qualy_position,q1,q2,q3,median_gap_leader,std_gap_leader,q1_sec,q2_sec,q3_sec,best_qualy_sec,qualy_delta_sec,year,round,prior_points,prior_position,prior_wins
7508,335,139,35,21,19.0,\N,R,15,0.0,24,\N,\N,\N,\N,\N,\N,91,0,,,,,2452.0,2354.436749160423,,,,,,1990,15,0.0,25,0.0
7509,335,103,33,29,18.0,\N,R,16,0.0,24,\N,\N,\N,\N,\N,\N,5,0,,,,,1752.0,5594.439853583405,,,,,,1990,15,5.0,11,0.0
7510,335,81,18,24,20.0,\N,R,17,0.0,18,\N,\N,\N,\N,\N,\N,20,0,,,,,2611.0,2958.8470578528904,,,,,,1990,15,0.0,33,0.0
7511,335,122,41,16,13.0,\N,R,18,0.0,16,\N,\N,\N,\N,\N,\N,80,0,,,,,4917.5,147322.97673337764,,,,,,1990,15,6.0,10,0.0
7512,335,110,35,22,26.0,\N,R,19,0.0,13,\N,\N,\N,\N,\N,\N,20,0,,,,,3841.0,3800.0164254030974,,,,,,1990,15,0.0,26,0.0
7513,335,127,41,15,16.0,\N,R,20,0.0,5,\N,\N,\N,\N,\N,\N,5,0,,,,,2199.0,5535.839412410732,,,,,,1990,15,1.0,17,0.0
7514,335,101,34,7,21.0,\N,R,21,0.0,5,\N,\N,\N,\N,\N,\N,8,0,,,,,8789.5,10653.977872137712,,,,,,1990,15,0.0,34,0.0
7515,335,77,1,28,4.0,\N,R,22,0.0,1,\N,\N,\N,\N,\N,\N,20,0,,,,,0.0,0.0,,,,,,1990,15,40.0,3,0.0
7516,335,102,1,27,1.0,\N,R,23,0.0,0,\N,\N,\N,\N,\N,\N,4,0,,,,,,,,,,,,1990,15,78.0,1,6.0
7517,335,117,6,1,2.0,\N,R,24,0.0,0,\N,\N,\N,\N,\N,\N,4,0,,,,,,,,,,,,1990,15,69.0,2,5.0
7518,335,131,34,8,22.0,\N,R,25,0.0,0,\N,\N,\N,\N,\N,\N,4,0,,,,,,,,,,,,1990,15,2.0,14,0.0
7519,335,55,25,4,7.0,\N,W,26,0.0,0,\N,\N,\N,\N,\N,\N,54,0,,,,,,,,,,,,1990,15,13.0,9,0.0
