iter	Logloss
0	0.5720813864
1	0.5079777746
2	0.4539247647
3	0.394110976
4	0.3485252083
5	0.3121545104
6	0.289779306
7	0.2700029145
8	0.2600190944
9	0.2408130355
10	0.2271170215
11	0.2152310762
12	0.2047098082
13	0.199427314
14	0.1930213465
15	0.188662999
16	0.1833073574
17	0.1778327317
18	0.1756846718
19	0.1729480579
20	0.1687427252
21	0.1658620206
22	0.1625203242
23	0.1596369645
24	0.1564918562
25	0.1532108585
26	0.1510202899
27	0.1491078126
28	0.1475879212
29	0.1466609276
30	0.1450478855
31	0.1437065218
32	0.1397258642
33	0.1388384021
34	0.1380963782
35	0.135803186
36	0.1353250119
37	0.1340790573
38	0.1331591819
39	0.13189083
40	0.1308200499
41	0.1294541266
42	0.1280903793
43	0.1265108916
44	0.1257100745
45	0.124626625
46	0.1235701459
47	0.1225657947
48	0.1213212743
49	0.1207684241
50	0.1204334444
51	0.1194898803
52	0.1182782151
53	0.1164485403
54	0.1159863357
55	0.1145046034
56	0.1127302874
57	0.1113529305
58	0.1105372106
59	0.1098913311
60	0.1092482346
61	0.1081286145
62	0.107616975
63	0.1066317964
64	0.1048955221
65	0.1039450932
66	0.1032862003
67	0.1030760067
68	0.1022522343
69	0.1013018499
70	0.1008072829
71	0.09967838428
72	0.0991936098
73	0.09871485834
74	0.09850811435
75	0.09740089784
76	0.09668750108
77	0.09633387471
78	0.09630089335
79	0.09587014801
80	0.09527003503
81	0.09447707244
82	0.09354360307
83	0.09271431483
84	0.09225098067
85	0.09158513882
86	0.09128528365
87	0.09089954556
88	0.09028561654
89	0.08933172566
90	0.08877675029
91	0.08813047089
92	0.0876539195
93	0.08722130314
94	0.08599130413
95	0.08476512464
96	0.0843028239
97	0.08401482064
98	0.08305713687
99	0.08242511056
100	0.08198969889
101	0.08101185098
102	0.08015903851
103	0.07984012481
104	0.07932605072
105	0.07903589934
106	0.07824099592
107	0.07761186092
108	0.07681747057
109	0.07622449302
110	0.07553577496
111	0.07476086865
112	0.07387360999
113	0.07357919248
114	0.0730069114
115	0.07280212603
116	0.07255144849
117	0.0720701094
118	0.07100881229
119	0.07022055611
120	0.06926025251
121	0.06853143598
122	0.06752108279
123	0.06683856428
124	0.06655212478
125	0.06601288255
126	0.06579559275
127	0.06519532449
128	0.06460717962
129	0.06437255029
130	0.06397939073
131	0.06372654494
132	0.06272104948
133	0.06252808603
134	0.06230178402
135	0.06129834617
136	0.06070440054
137	0.06016476599
138	0.05978963611
139	0.05899812429
140	0.05883897363
141	0.05866880877
142	0.05797574416
143	0.05764236998
144	0.05745554202
145	0.0569639577
146	0.05647172073
147	0.05626026946
148	0.05540839164
149	0.05474537533
150	0.05405781747
151	0.05366513579
152	0.05317812436
153	0.05273987552
154	0.05233297379
155	0.05201899386
156	0.05142852897
157	0.05097131049
158	0.05063472664
159	0.05011268869
160	0.04980020692
161	0.04947993748
162	0.04934749175
163	0.04914174356
164	0.04897727184
165	0.04877058546
166	0.04848306746
167	0.04819853321
168	0.04803209034
169	0.04763454921
170	0.04706286061
171	0.0466833916
172	0.04603366395
173	0.04573717451
174	0.04530742336
175	0.04488503569
176	0.04446469735
177	0.04439201437
178	0.04420567653
179	0.04373526538
180	0.04360470665
181	0.0432819996
182	0.04314974983
183	0.04299007061
184	0.04262925376
185	0.04236502918
186	0.04227625261
187	0.04205659099
188	0.04194273005
189	0.04180289889
190	0.04148252489
191	0.04115861688
192	0.04040439345
193	0.04013681317
194	0.03989832302
195	0.03979651762
196	0.03910721031
197	0.03891367122
198	0.03863099489
199	0.03814293532
